#th(º)				ph(º)			Eth(V/m)		Eth(º)		Eph(V/m)		Eph(º)
-1.780000000000000000e+02 5.100000000000000000e+01 1.219316638165237622e-06 -4.622284299999999746e+01 1.196972023834068668e-06 -1.639033000000000015e+02
-1.780000000000000000e+02 5.400000000000000000e+01 1.244593418288224520e-06 -4.403165099999999654e+01 1.166202585694121167e-06 -1.611985099999999989e+02
-1.780000000000000000e+02 5.700000000000000000e+01 1.268659278264827505e-06 -4.194001699999999744e+01 1.135521861920275854e-06 -1.583234500000000082e+02
-1.780000000000000000e+02 6.000000000000000000e+01 1.291253465202113173e-06 -3.993752500000000083e+01 1.105311020052365254e-06 -1.552629300000000114e+02
-1.780000000000000000e+02 6.300000000000000000e+01 1.312169684847795113e-06 -3.801340600000000336e+01 1.075958448463446867e-06 -1.520047500000000014e+02
-1.780000000000000000e+02 6.600000000000000000e+01 1.331214379100374274e-06 -3.615843199999999769e+01 1.047917275493314574e-06 -1.485372500000000002e+02
-1.780000000000000000e+02 6.900000000000000000e+01 1.348200550081477951e-06 -3.436154899999999657e+01 1.021643791144298014e-06 -1.448547399999999925e+02
-1.780000000000000000e+02 7.200000000000000000e+01 1.362976914471237273e-06 -3.261410699999999707e+01 9.976345932259009395e-07 -1.409553300000000036e+02
-1.780000000000000000e+02 7.500000000000000000e+01 1.375384101855673343e-06 -3.090796599999999827e+01 9.763589237693333973e-07 -1.368435800000000029e+02
-1.780000000000000000e+02 7.800000000000000000e+01 1.385282985161456658e-06 -2.923324900000000071e+01 9.583143689468299711e-07 -1.325318200000000104e+02
-1.780000000000000000e+02 8.100000000000000000e+01 1.392587523767566823e-06 -2.758140799999999970e+01 9.439434994363365367e-07 -1.280427099999999996e+02
-1.780000000000000000e+02 8.400000000000000000e+01 1.397180449493836152e-06 -2.594545600000000007e+01 9.336250592325582951e-07 -1.234074600000000004e+02
-1.780000000000000000e+02 8.700000000000000000e+01 1.398997698397547907e-06 -2.431621099999999913e+01 9.276731781370368368e-07 -1.186659599999999983e+02
-1.780000000000000000e+02 9.000000000000000000e+01 1.397973696365680300e-06 -2.268503099999999861e+01 9.262868528832176460e-07 -1.138654599999999988e+02
